CustomerID,Recency,Frequency,MonetaryValue,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Segment
12346.0,326,1,77183.6,1,1,4,114,Can't Lose Them
12347.0,2,182,4310.0,4,4,4,444,Champions
12348.0,75,31,1797.24,2,2,4,224,Can't Lose Them
12349.0,19,73,1757.55,3,3,4,334,Promising
12350.0,310,17,334.4,1,1,2,112,Lost
12352.0,36,85,2506.04,3,3,4,334,Promising
12353.0,204,4,89.0,1,1,1,111,Lost
12354.0,232,58,1079.4,1,3,3,133,At Risk
12355.0,214,13,459.4,1,1,2,112,Lost
12356.0,23,59,2811.43,3,3,4,334,Promising
12357.0,33,131,6207.67,3,4,4,344,Loyal Customers
12358.0,2,19,1168.06,4,2,3,423,Potential Loyalists
12359.0,58,245,6310.03,2,4,4,244,At Risk
12360.0,52,129,2662.06,2,4,4,244,At Risk
12361.0,287,10,189.9,1,1,1,111,Lost
12362.0,3,266,5226.23,4,4,4,444,Champions
12363.0,110,23,552.0,2,2,2,222,Lost
12364.0,8,85,1313.1,4,3,3,433,Potential Loyalists
12365.0,291,22,641.38,1,2,2,122,Lost
12367.0,4,11,168.9,4,1,1,411,New Customers
12370.0,51,166,3541.94,3,4,4,344,Loyal Customers
12371.0,45,63,1887.96,3,3,4,334,Promising
12372.0,72,52,1298.04,2,3,3,233,At Risk
12373.0,311,14,364.6,1,1,2,112,Lost
12374.0,25,33,742.9300000000001,3,2,3,323,Promising
12375.0,11,17,457.5,4,1,2,412,New Customers
12377.0,315,77,1628.12,1,3,3,133,At Risk
12378.0,130,219,4008.62,2,4,4,244,At Risk
12379.0,82,40,852.24,2,2,3,223,Hibernating
12380.0,22,104,2724.81,3,4,4,344,Loyal Customers
12381.0,5,87,1845.31,4,3,4,434,Potential Loyalists
12383.0,185,99,1850.56,1,4,4,144,At Risk
12384.0,29,27,585.27,3,2,2,322,Need Attention
12386.0,338,10,401.9,1,1,2,112,Lost
12388.0,16,100,2780.66,4,4,4,444,Champions
12390.0,80,32,549.84,2,2,2,222,Lost
12391.0,22,93,439.66,3,3,2,332,Need Attention
12393.0,72,64,1582.6000000000001,2,3,3,233,At Risk
12394.0,64,27,1272.48,2,2,3,223,Hibernating
12395.0,19,156,3018.63,3,4,4,344,Loyal Customers
12397.0,36,126,2409.9,3,4,4,344,Loyal Customers
12398.0,46,85,1635.6599999999999,3,3,3,333,Promising
12399.0,119,59,1108.65,2,3,3,233,At Risk
12401.0,303,5,84.3,1,1,1,111,Lost
12402.0,323,11,225.6,1,1,1,111,Lost
12403.0,50,5,427.7,3,1,2,312,Need Attention
12405.0,149,54,1710.39,1,3,4,134,At Risk
12406.0,22,105,3415.3,3,4,4,344,Loyal Customers
12407.0,50,77,1708.1200000000001,3,3,4,334,Promising
12408.0,33,105,2888.55,3,4,4,344,Loyal Customers
12409.0,79,109,11072.67,2,4,4,244,At Risk
12410.0,309,26,693.3299999999999,1,2,3,123,Hibernating
12412.0,75,61,1226.88,2,3,3,233,At Risk
12413.0,67,38,758.1,2,2,3,223,Hibernating
12414.0,217,18,562.41,1,2,2,122,Lost
12415.0,24,714,124914.53,3,4,4,344,Loyal Customers
12417.0,3,192,3649.1,4,4,4,444,Champions
12418.0,113,34,668.58,2,2,3,223,Hibernating
12420.0,64,29,600.39,2,2,2,222,Lost
12421.0,16,45,807.04,4,3,3,433,Potential Loyalists
12422.0,96,39,803.5600000000001,2,2,3,223,Hibernating
12423.0,1,125,1859.31,4,4,4,444,Champions
12424.0,163,30,1760.96,1,2,4,124,Can't Lose Them
12425.0,78,36,777.2,2,2,3,223,Hibernating
12426.0,195,30,582.73,1,2,2,122,Lost
12427.0,22,31,825.8,3,2,3,323,Promising
12428.0,26,294,7956.46,3,4,4,344,Loyal Customers
12429.0,9,97,3750.4,4,3,4,434,Potential Loyalists
12430.0,43,11,256.4,3,1,1,311,Need Attention
12431.0,36,234,6419.95,3,4,4,344,Loyal Customers
12432.0,43,108,5059.32,3,4,4,344,Loyal Customers
12433.0,1,420,13375.87,4,4,4,444,Champions
12434.0,85,50,806.14,2,3,3,233,At Risk
12435.0,80,36,7829.89,2,2,4,224,Can't Lose Them
12436.0,100,16,509.01,2,1,2,212,Lost
12437.0,2,199,4951.41,4,4,4,444,Champions
12438.0,14,98,2906.85,4,3,4,434,Potential Loyalists
12441.0,367,11,173.55,1,1,1,111,Lost
12442.0,3,12,172.06,4,1,1,411,New Customers
12444.0,21,176,5005.46,3,4,4,344,Loyal Customers
12445.0,22,4,133.4,3,1,1,311,Need Attention
12446.0,58,57,1002.3100000000001,2,3,3,233,At Risk
12447.0,243,26,476.49,1,2,2,122,Lost
12448.0,44,22,449.45,3,2,2,322,Need Attention
12449.0,22,191,4067.29,3,4,4,344,Loyal Customers
12450.0,156,8,197.88,1,1,1,111,Lost
12451.0,11,354,9035.52,4,4,4,444,Champions
12452.0,17,22,430.57,4,2,2,422,Potential Loyalists
12453.0,134,43,707.09,2,3,3,233,At Risk
12454.0,56,15,3528.34,2,1,4,214,Can't Lose Them
12455.0,73,90,2466.86,2,3,4,234,At Risk
12456.0,44,125,3181.04,3,4,4,344,Loyal Customers
12457.0,66,62,2363.23,2,3,4,234,At Risk
12458.0,71,38,947.4,2,2,3,223,Hibernating
12461.0,94,35,826.88,2,2,3,223,Hibernating
12462.0,19,62,1189.59,3,3,3,333,Promising
12463.0,53,83,1344.78,2,3,3,233,At Risk
12464.0,10,29,1212.05,4,2,3,423,Potential Loyalists
12465.0,17,47,742.1899999999999,4,3,3,433,Potential Loyalists
12468.0,188,38,729.5400000000001,1,2,3,123,Hibernating
12471.0,2,459,19788.65,4,4,4,444,Champions
12472.0,32,339,6572.11,3,4,4,344,Loyal Customers
12473.0,29,167,3928.0499999999997,3,4,4,344,Loyal Customers
12474.0,17,422,7324.09,4,4,4,444,Champions
12475.0,54,36,723.38,2,2,3,223,Hibernating
12476.0,16,233,6816.42,4,4,4,444,Champions
12477.0,23,300,13219.74,3,4,4,344,Loyal Customers
12478.0,4,36,680.99,4,2,3,423,Potential Loyalists
12479.0,11,31,527.2,4,2,2,422,Potential Loyalists
12480.0,28,154,3281.63,3,4,4,344,Loyal Customers
12481.0,23,216,5579.82,3,4,4,344,Loyal Customers
12483.0,17,75,2484.98,4,3,4,434,Potential Loyalists
12484.0,33,343,4527.32,3,4,4,344,Loyal Customers
12488.0,10,55,1298.66,4,3,3,433,Potential Loyalists
12489.0,336,15,334.93,1,1,2,112,Lost
12490.0,5,245,5417.93,4,4,4,444,Champions
12491.0,39,26,460.40000000000003,3,2,2,322,Need Attention
12492.0,63,20,263.21000000000004,2,2,1,221,Lost
